fid,gid,xcoord,ycoord
"168",마라280955,128.907460637625,35.2472008836299
"169",마마188019,128.807290150197,35.3060285241351
"170",마마220040,128.842792958818,35.3245733728074
"171",마라237945,128.860058737919,35.2387267483642
"172",마라181979,128.799016045713,35.2700527576581
"173",마라242936,128.865416552822,35.2305518083832
"174",마마129029,128.74254495094,35.3157274490381
"175",마라141956,128.754727397427,35.2497826850547
"176",마라242956,128.865718814919,35.2485808403344
"177",마마123013,128.735726419162,35.3013712844097
"178",마라182921,128.799280837737,35.2177553912719
"179",마마177005,128.794992358972,35.2935381444332
"180",마라175888,128.791120284492,35.1880887049502
"181",마라156884,128.770199955171,35.1847033916266
"182",마마300020,128.930467631246,35.3055356403152
"183",마마204038,128.825164575474,35.3229646683363
"184",마라273950,128.899691172273,35.2427829228275
"185",마라341940,128.974244661999,35.2328815059175
"186",마마190069,128.810216755634,35.3510776676891
"187",마라194937,128.812695165733,35.2320367554938
"188",마마203011,128.823668021208,35.2986373971345
"189",마마336024,128.970119130877,35.3086664341752
"190",마라104971,128.714267267225,35.2637200386116
"191",마마136034,128.750313297637,35.3201554880763
"192",마마179009,128.797248965138,35.2971204499424
"193",마마226077,128.849947280469,35.3578532541335
"194",마마155014,128.770929386694,35.3019080486876
"195",마라186919,128.803646024903,35.2159051920944
"196",마라190892,128.807649646562,35.1915178806175
"197",마마116021,128.72813776798,35.3086616284064
"198",마라102997,128.712418234257,35.2871811004161
"199",마라219951,128.840369931011,35.244356175761
"200",마라251892,128.874635528316,35.1907759458859
"201",마마211002,128.832331713537,35.2904276868925
"202",마라221899,128.84179573051,35.1974557308422
"203",마라282958,128.909705163216,35.2498796003371
"204",마라212987,128.833209480254,35.276893714376
"205",마마313014,128.944666618714,35.2999572063125
"206",마라135956,128.748133644382,35.2498508796046
"207",마라264946,128.889740435811,35.23929113887
"208",마라241941,128.864393383196,35.2350714636567
"209",마라287947,128.915027291011,35.2398997105549
"210",마마243014,128.867696492,35.3008522837397
"211",마마303057,128.934355543576,35.3388488432425
"212",마마246019,128.871071326951,35.3053221278674
"213",마라209866,128.82813298486,35.1678524241879
"214",마라281954,128.908543898304,35.2462866627698
"215",마라253943,128.877608346771,35.236724996564
"216",마마108005,128.719123242034,35.2943267600128
"217",마라148953,128.762378153117,35.2469982079381
"218",마라220897,128.840667888016,35.1956649619621
"219",마라353940,128.987428151076,35.2327201871211
"220",마라130950,128.742556295696,35.244498466243
"221",마마222042,128.845022682738,35.3263518102291
"222",마라116987,128.727674794961,35.2780108750096
"223",마마312007,128.94345500382,35.2936604476004
"224",마라194875,128.811795915537,35.1761452089929
"225",마라318942,128.949008083125,35.2349895286972
"226",마마136044,128.75045211889,35.3291702920393
"227",마마201089,128.822614083051,35.3689748332159
"228",마라273944,128.899598229487,35.2373742915742
"229",마라173876,128.788753253715,35.177294244272
"230",마라199966,128.818611850953,35.2581196247515
"231",마라338951,128.971127843673,35.2428371284198
"232",마마195036,128.815236105131,35.3212698596282
"233",마마110035,128.721728988812,35.3213493531656
"234",마마205089,128.827016240924,35.3689265641174
"235",마라164881,128.778942148185,35.1819064564157
"236",마라242967,128.865885173519,35.2584967840044
"237",마라263953,128.888749274588,35.2456138490573
"238",마라124964,128.736154540422,35.2571869373669
"239",마라250927,128.874068917938,35.22233927681
"240",마라258948,128.883178506885,35.2411695596259
"241",마마118017,128.730282693107,35.3050333080693
"242",마마174034,128.792109433889,35.3197160092129
"243",마마223042,128.846122635179,35.3263395666719
"244",마라179883,128.79544117497,35.1835343651533
"245",마마303031,128.933941535038,35.3154121291543
"246",마라222942,128.843532633775,35.2362064784032
"247",마마129024,128.742476005751,35.3112200251855
"248",마마207054,128.828700370455,35.3373516814466
"249",마라344962,128.977900376016,35.2526722691716
"250",마라175996,128.792664294009,35.2854484350083
"251",마라204886,128.822935985132,35.1859420254796
"252",마라276966,128.903236115044,35.2571677200894
"253",마라215922,128.835545955359,35.2182623294134
"254",마마196053,128.816584506575,35.3365826473289
"255",마마175007,128.792821970108,35.2953646124226
"256",마라213923,128.8333637057,35.2191880165437
"257",마라268996,128.894907760569,35.2843124491988
"258",마라188896,128.805511041293,35.1951475016526
"259",마라191940,128.809442550508,35.2347768808832
"260",마라274937,128.900588467194,35.2310515060383
"261",마라244885,128.866843057324,35.1845527552976
"262",마마346009,128.980869216033,35.2950112705322
"263",마라197968,128.816442925548,35.2599464949784
"264",마라102994,128.712377910744,35.2844766031744
"265",마라194892,128.812042237855,35.1914703638813
"266",마마263063,128.890444446319,35.3447716084287
"267",마라198936,128.817075358848,35.2310875375033
"268",마라247972,128.871456242094,35.2629418519117
"269",마라282933,128.909315193668,35.2273437267403
"270",마라250958,128.874540364401,35.2502841891743
"271",마마203093,128.824874098256,35.3725565070997
"272",마라199900,128.817649428245,35.1986225517839
"273",마라262934,128.887358699049,35.2284990260567
"274",마마199038,128.819664988283,35.3230248277939
"275",마라237977,128.860540734008,35.2675731979171
"276",마마113018,128.724797704944,35.3059906193261
"277",마라195909,128.813387098569,35.2067835676157
"278",마마227034,128.850402502709,35.3190789336871
"279",마마137033,128.751399316554,35.3192426270918
"280",마마095015,128.70496238022,35.3034850098227
"281",마마297027,128.927279585142,35.3118845459854
"282",마라241962,128.864710580675,35.2540019396525
"283",마마296024,128.926132391278,35.3091932701476
